OBJECTID_1,TAP,MAT,pH,AP,AK,TP,TK,TN,OM
3360,566.203,-0.632625,5.955,8.282,152.7,0.1028,2.006,0.2721,5.384
3370,581.746,-1.36642,5.913,12.38,190.23,0.1073,2.084,0.257,8.997
3387,529.823,1.29238,5.955,7.213,153.71,0.1028,2.006,0.2721,5.384
3437,544.891,0.482667,5.923,12.38,211.33,0.08419,2.108,0.3296,10.21
3441,554.872,0.105875,7.998,7.061,133.62,0.04528,1.877,0.295,5.456
3453,560.505,0.033458,7.998,7.061,133.62,0.04528,1.877,0.295,5.456
3458,568.085,-0.358542,7.019,12.92,270.49,0.0494,1.911,0.1383,2.059
3459,568.386,-0.439916,6.99,8.993,123.81,0.09052,2.316,0.172,3.211
3481,547.022,1.2755,5.668,12.38,113.07,0.1079,2.128,0.4403,9.608
3482,542.47,1.13663,5.955,7.213,153.71,0.1028,2.006,0.2721,5.384
3483,533.612,1.36833,5.955,7.213,153.71,0.1028,2.006,0.2721,5.384
3484,525.397,1.25187,7.019,12.92,270.49,0.0494,1.911,0.1383,2.059
3521,542.422,-0.0090415,7.998,7.061,133.62,0.04264,1.877,0.295,5.456
3534,546.821,0.507417,6.339,5.815,218.91,0.07297,1.82,0.1532,3.947
3536,558.097,0.386959,5.923,12.38,211.33,0.08419,2.108,0.3296,10.21
3540,557.138,0.213834,7.998,7.061,133.62,0.04528,1.877,0.295,5.456
3547,568.177,0.260792,6.845,4.644,152.82,0.09303,2.138,0.2107,4.234
3554,570.438,-0.127083,5.955,8.282,152.7,0.1028,2.006,0.2721,5.384
3555,565.946,-0.294125,7.998,7.061,133.62,0.04528,1.877,0.295,5.456
3579,543.757,1.48821,5.913,12.38,190.23,0.1073,2.084,0.257,8.997
3580,535.262,1.20175,7.019,12.92,270.49,0.0494,1.911,0.1383,2.059
3581,529.991,1.10233,7.019,12.92,270.49,0.0494,1.911,0.1383,2.059
3619,539.073,-0.133,7.998,7.061,133.62,0.04264,1.877,0.295,5.456
3632,560.568,0.347958,6.339,5.815,218.91,0.07297,1.82,0.1532,3.947
3634,547.839,0.574125,6.339,5.815,218.91,0.07297,1.82,0.1532,3.947
3636,561.683,0.4065,5.923,12.38,211.33,0.08419,2.108,0.3296,10.21
3640,571.322,0.223208,5.923,12.38,211.33,0.08419,2.108,0.3296,10.21
3643,553.837,0.373833,6.915,4.644,152.82,0.09156,2.264,0.2107,4.234
3659,586.216,-0.959167,5.955,8.403,118.24,0.1028,2.006,0.2721,5.384
3671,561.319,-0.0962085,7.998,7.061,133.62,0.04592,1.877,0.295,5.456
3672,568.459,-0.180208,5.913,12.38,190.23,0.1073,2.084,0.257,8.997
3676,557.34,0.545208,5.955,7.37,153.71,0.1028,2.006,0.2721,5.384
3679,533.96,1.21575,7.019,12.92,270.49,0.0494,1.911,0.1383,2.059
3732,559.691,0.489625,6.339,5.815,218.91,0.07297,1.82,0.1532,3.947
3733,556.958,0.542792,6.339,5.815,218.91,0.07297,1.82,0.1532,3.947
3734,551.595,0.548958,5.923,12.38,211.33,0.08419,2.108,0.3296,10.21
3735,561.656,0.538542,5.923,12.38,211.33,0.08419,2.108,0.3296,10.21
3736,562.344,0.432792,6.339,5.815,218.91,0.07297,1.82,0.1532,3.947
3743,556.823,0.589666,6.915,4.644,152.82,0.09156,2.264,0.2107,4.234
3747,558.591,0.493542,6.564,10.3,171.26,0.08858,2.059,0.4329,9.18
3749,573.255,0.442708,5.955,8.403,147.32,0.1028,2.006,0.2721,5.384
3750,570.564,0.2615,5.955,8.403,147.32,0.1028,2.006,0.2721,5.384
3753,574.264,-0.0640837,5.915,6.928,107.08,0.07423,2.128,0.313,8.15
3773,564.144,0.142334,5.955,7.213,146.22,0.1028,2.006,0.2721,5.384
3778,538.585,1.39871,7.019,12.92,270.49,0.0494,1.911,0.1383,2.059
3779,531.212,1.17046,7.019,12.92,270.49,0.0494,1.911,0.1383,2.059
3783,478.952,-2.47983,7.998,8.554,111.27,0.06078,1.877,0.2502,5.307
3838,567.471,0.641,5.923,12.38,211.33,0.08419,2.108,0.3296,10.21
3839,562.234,0.554834,5.923,12.38,211.33,0.08419,2.108,0.3296,10.21
3840,566.984,0.445875,5.923,12.38,211.33,0.08419,2.108,0.3296,10.21
3841,566.611,0.551041,7.998,7.061,133.62,0.04528,1.877,0.295,5.456
3842,576.792,0.445833,6.915,4.644,152.82,0.09156,2.264,0.2107,4.234
3843,570.37,0.719667,6.915,4.644,152.82,0.09156,2.264,0.2107,4.234
3844,564.085,0.568251,6.915,4.644,152.82,0.09156,2.264,0.2107,4.234
3848,561.409,0.548958,5.915,16.51,149.2,0.08419,2.136,0.3164,9.777
3850,568.746,0.775875,6.564,10.3,171.26,0.08858,2.059,0.4329,9.18
3853,571.197,0.256375,5.955,8.403,147.32,0.1028,2.006,0.2721,5.384
